City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
74,Ocos,GT,2020-04-19 19:59:50,14.51,-92.19,91.4,70,90,11.41,overcast clouds,0.0,0.0
75,Luena,AO,2020-04-19 19:59:50,-11.78,19.92,62.31,63,83,4.38,broken clouds,0.0,0.0
76,Saint Anthony,US,2020-04-19 19:55:25,45.02,-93.22,50.0,24,1,12.75,clear sky,0.0,0.0
77,Altay,CN,2020-04-19 19:59:51,47.87,88.12,46.78,36,3,6.58,clear sky,0.0,0.0
78,Grand Gaube,MU,2020-04-19 19:57:21,-20.01,57.66,77.0,78,40,10.29,scattered clouds,0.0,0.0
79,Ambon,ID,2020-04-19 19:59:51,-3.7,128.18,83.44,73,69,5.73,light rain,2.23,0.0
80,Belyy Yar,RU,2020-04-19 19:59:54,53.6,91.39,42.8,41,0,8.95,clear sky,0.0,0.0
81,Natal,BR,2020-04-19 19:59:54,-5.79,-35.21,86.0,70,40,14.99,scattered clouds,0.0,0.0
82,Beringovskiy,RU,2020-04-19 19:59:54,63.05,179.32,18.32,96,100,16.44,light snow,0.0,0.32
83,Marawi,PH,2020-04-19 19:59:54,8.0,124.29,69.01,75,40,2.21,scattered clouds,0.0,0.0
84,Hobart,AU,2020-04-19 19:59:16,-42.88,147.33,51.8,81,90,5.82,drizzle,0.0,0.0
85,Bengkulu,ID,2020-04-19 19:59:55,-3.8,102.27,77.49,84,100,3.58,light rain,0.23,0.0
86,Kapaa,US,2020-04-19 19:56:45,22.08,-159.32,77.0,69,75,5.79,broken clouds,0.0,0.0
87,Sangar,RU,2020-04-19 19:59:55,63.92,127.47,7.16,85,19,0.38,few clouds,0.0,0.0
88,Walvis Bay,NA,2020-04-19 19:56:36,-22.96,14.51,60.8,82,1,3.36,clear sky,0.0,0.0
89,Landau,DE,2020-04-19 19:59:56,49.21,8.11,59.0,54,18,4.0,few clouds,0.0,0.0
90,Tarakan,ID,2020-04-19 19:59:56,3.3,117.63,77.74,86,63,6.08,light rain,0.12,0.0
91,Japura,ID,2020-04-19 19:59:56,-0.32,102.35,73.81,95,22,1.25,few clouds,0.0,0.0
92,Vao,NC,2020-04-19 19:59:56,-22.67,167.48,76.21,79,100,14.85,light rain,1.26,0.0
93,Airai,TL,2020-04-19 19:59:56,-8.93,125.41,59.32,59,0,2.3,clear sky,0.0,0.0
94,Goderich,CA,2020-04-19 19:59:57,43.75,-81.72,46.0,82,55,18.81,broken clouds,0.0,0.0
95,Avera,US,2020-04-19 19:59:57,33.19,-82.53,59.0,93,40,18.34,scattered clouds,0.0,0.0
96,Dhidhdhoo,MV,2020-04-19 19:59:57,6.88,73.1,86.38,71,14,7.52,few clouds,0.0,0.0
97,Haines Junction,CA,2020-04-19 19:59:57,60.75,-137.51,47.53,46,84,7.78,broken clouds,0.0,0.0
98,Algiers,DZ,2020-04-19 19:59:57,36.75,3.04,64.4,93,75,4.7,light rain,0.0,0.0
99,Corridonia,IT,2020-04-19 19:59:57,43.25,13.51,62.01,77,100,1.16,light rain,0.46,0.0
100,Isla Mujeres,MX,2020-04-19 19:59:58,21.23,-86.73,86.0,62,75,18.34,broken clouds,0.0,0.0
101,Pecos,US,2020-04-19 19:59:58,31.42,-103.49,81.0,8,1,17.22,clear sky,0.0,0.0
102,Catuday,PH,2020-04-19 19:59:58,16.29,119.81,80.35,78,100,5.21,light rain,0.11,0.0
103,Bahia Blanca,AR,2020-04-19 19:59:58,-38.72,-62.27,71.08,31,82,6.31,broken clouds,0.0,0.0
104,Tiznit,MA,2020-04-19 19:59:59,29.58,-9.5,55.87,70,79,14.72,light rain,0.21,0.0
105,Decatur,US,2020-04-19 19:59:59,39.84,-88.95,66.2,39,1,10.29,clear sky,0.0,0.0
106,Laguna,US,2020-04-19 19:59:59,38.42,-121.42,68.0,55,40,11.41,scattered clouds,0.0,0.0
107,Mar Del Plata,AR,2020-04-19 20:00:00,-38.0,-57.56,77.0,53,19,18.34,few clouds,0.0,0.0
108,Casselman,CA,2020-04-19 20:00:00,45.32,-75.08,44.01,89,100,4.0,light rain,1.04,0.0
109,Wanaka,NZ,2020-04-19 20:00:01,-44.7,169.15,43.95,64,50,6.55,light rain,0.34,0.0
110,Omsukchan,RU,2020-04-19 20:00:04,62.53,155.8,-0.67,82,100,5.01,overcast clouds,0.0,0.0
111,Dikson,RU,2020-04-19 20:00:04,73.51,80.55,34.93,89,95,29.04,overcast clouds,0.0,0.0
112,Shestakovo,RU,2020-04-19 20:00:04,56.49,103.96,19.24,91,0,3.09,clear sky,0.0,0.0
113,Bridlington,GB,2020-04-19 20:00:04,54.08,-0.19,46.4,81,0,10.29,clear sky,0.0,0.0
114,Ancud,CL,2020-04-19 20:00:05,-41.87,-73.82,55.4,76,75,9.17,broken clouds,0.0,0.0
115,Faanui,PF,2020-04-19 19:56:44,-16.48,-151.75,83.21,74,67,14.52,light rain,1.35,0.0
116,Carnarvon,AU,2020-04-19 20:00:05,-24.87,113.63,71.6,83,65,10.29,broken clouds,0.0,0.0
117,Umtata,ZA,2020-04-19 20:00:05,-31.59,28.78,68.0,56,0,1.12,clear sky,0.0,0.0
118,Torbay,CA,2020-04-19 20:00:06,47.67,-52.73,34.0,92,90,28.86,moderate rain,0.0,0.0
119,Tasiilaq,GL,2020-04-19 20:00:06,65.61,-37.64,33.8,64,100,9.17,overcast clouds,0.0,0.0
120,Riyadh,SA,2020-04-19 20:00:06,24.69,46.72,78.8,36,100,6.93,overcast clouds,0.0,0.0
121,Gorom-Gorom,BF,2020-04-19 20:00:06,14.44,-0.24,85.75,43,80,12.03,broken clouds,0.0,0.0
122,Hobyo,SO,2020-04-19 20:00:06,5.35,48.53,84.81,72,100,10.47,overcast clouds,0.0,0.0
123,Kodiak,US,2020-04-19 20:00:07,57.79,-152.41,44.6,81,90,9.17,overcast clouds,0.0,0.0
124,Cortez,US,2020-04-19 20:00:07,37.35,-108.59,60.8,25,20,4.7,few clouds,0.0,0.0
125,Kyra,RU,2020-04-19 20:00:07,49.58,111.98,19.51,86,78,8.66,light snow,0.0,0.7
126,Collie,AU,2020-04-19 20:00:08,-33.37,116.15,55.0,59,47,5.14,scattered clouds,0.0,0.0
127,Tuatapere,NZ,2020-04-19 20:00:08,-46.13,167.68,44.01,81,53,5.99,broken clouds,0.0,0.0
128,Necochea,AR,2020-04-19 20:00:08,-38.55,-58.74,69.01,71,28,4.0,scattered clouds,0.0,0.0
129,Luoyang,CN,2020-04-19 20:00:08,34.68,112.45,63.0,99,99,5.41,overcast clouds,0.0,0.0
130,Mao,ES,2020-04-19 20:00:09,39.89,4.27,60.8,100,75,9.17,shower rain,0.0,0.0
131,Tautira,PF,2020-04-19 20:00:09,-17.73,-149.15,86.0,70,100,9.17,light rain,0.26,0.0
132,Jalu,LY,2020-04-19 20:00:09,29.03,21.55,73.17,21,49,6.44,scattered clouds,0.0,0.0
133,Sitka,US,2020-04-19 20:00:09,57.05,-135.33,41.0,93,90,3.36,overcast clouds,0.0,0.0
134,Abha,SA,2020-04-19 19:59:42,18.22,42.51,66.2,68,92,6.93,overcast clouds,0.0,0.0
135,Kaohsiung,TW,2020-04-19 20:00:10,22.62,120.31,75.99,94,20,4.7,few clouds,0.0,0.0
136,Karratha,AU,2020-04-19 20:00:10,-20.74,116.85,82.22,60,100,4.61,overcast clouds,0.0,0.0
137,Nanortalik,GL,2020-04-19 20:00:10,60.14,-45.24,29.89,90,13,13.42,few clouds,0.0,0.0
138,Ballina,AU,2020-04-19 20:00:10,-28.87,153.57,60.8,93,1,4.7,clear sky,0.0,0.0
139,Tiksi,RU,2020-04-19 20:00:11,71.69,128.87,10.42,89,100,6.31,overcast clouds,0.0,0.0
140,Waitati,NZ,2020-04-19 20:00:11,-45.75,170.57,51.01,46,37,5.01,scattered clouds,0.0,0.0
141,Ust-Kuyga,RU,2020-04-19 20:00:11,70.02,135.6,5.11,92,64,7.31,broken clouds,0.0,0.0
142,Souillac,MU,2020-04-19 20:00:11,-20.52,57.52,77.0,78,40,10.29,scattered clouds,0.0,0.0
143,Karlivka,UA,2020-04-19 20:00:11,49.46,35.13,41.43,61,8,3.29,clear sky,0.0,0.0
144,Kushima,JP,2020-04-19 20:00:13,31.46,131.23,62.6,72,75,24.16,broken clouds,0.0,0.0
145,Polovinnoye,RU,2020-04-19 20:00:13,54.79,65.99,43.41,58,99,5.77,overcast clouds,0.0,0.0
146,Boyolangu,ID,2020-04-19 20:00:13,-8.12,111.89,76.75,85,96,2.21,light rain,1.07,0.0
147,Pacific Grove,US,2020-04-19 20:00:13,36.62,-121.92,61.0,63,90,3.36,overcast clouds,0.0,0.0
