City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
104,Griffith,US,2020-04-19 16:59:51,41.53,-87.42,60.01,41,1,11.41
105,Lompoc,US,2020-04-19 16:59:52,34.64,-120.46,57.99,71,75,8.21
106,Kokopo,PG,2020-04-19 16:59:52,-4.35,152.26,79.23,78,73,1.66
107,Victor Harbor,AU,2020-04-19 16:59:52,-35.57,138.62,64.99,83,100,11.01
108,Bogovarovo,RU,2020-04-19 16:59:52,58.98,47.02,34.48,82,40,0.56
109,Iqaluit,CA,2020-04-19 16:59:52,63.75,-68.51,1.4,64,5,1.25
110,Katsuura,JP,2020-04-19 16:59:48,35.13,140.3,51.01,75,98,1.01
111,Padang,ID,2020-04-19 16:58:20,-0.95,100.35,78.48,77,86,3.42
112,Tazovskiy,RU,2020-04-19 16:59:53,67.47,78.7,34.9,98,100,7.81
113,Kennesaw,US,2020-04-19 16:57:02,34.02,-84.62,50.0,93,75,5.82
114,Hervey Bay,AU,2020-04-19 16:59:54,-25.3,152.85,68.0,94,90,2.71
115,Turukhansk,RU,2020-04-19 16:59:54,65.82,87.98,37.99,75,100,15.46
116,Maridi,SS,2020-04-19 16:59:54,4.92,29.47,68.85,75,79,1.72
117,Tiksi,RU,2020-04-19 16:59:54,71.69,128.87,10.02,86,86,6.93
118,Ribeira Grande,PT,2020-04-19 16:59:55,38.52,-28.7,60.8,59,20,24.16
119,Tiarei,PF,2020-04-19 16:59:55,-17.53,-149.33,78.8,83,75,4.7
120,Khani,GE,2020-04-19 16:59:55,41.96,42.96,60.8,55,53,9.17
121,Grand-Santi,GF,2020-04-19 16:59:55,4.25,-54.38,83.88,81,88,3.49
122,Hilo,US,2020-04-19 16:59:55,19.73,-155.09,66.99,68,40,8.05
123,Bosaso,SO,2020-04-19 16:59:56,11.28,49.18,83.91,71,99,4.68
124,Cape Town,ZA,2020-04-19 16:59:56,-33.93,18.42,66.99,88,20,19.46
125,Gambiran,ID,2020-04-19 16:59:56,-6.8,111.5,79.5,78,89,0.11
126,Saskylakh,RU,2020-04-19 16:59:56,71.92,114.08,15.55,93,0,7.4
127,Chokurdakh,RU,2020-04-19 16:59:56,70.63,147.92,6.24,95,100,9.69
128,Hamilton,US,2020-04-19 16:59:57,39.18,-84.53,55.99,62,20,8.05
129,Georgetown,MY,2020-04-19 16:55:11,5.41,100.34,84.0,88,20,3.36
130,Kimbe,PG,2020-04-19 16:59:57,-5.55,150.14,76.87,87,20,1.86
